text,label
problem with the termination of my pro account,11
can i place an order frim delivery country,12
what do i need to do to talk to customer assistance?,8
i'm waiting for a fucking compensatio of refund amount dollars,26
i need assistance trying to modify my delivery address,2
i call to leave some feedack,22
i want assistance canceling order order number,0
where to file a consumer complaint,7
is it possible to place na order from delivery country,12
need help to use the account type account,24
i need assistance to change to the account category account,24
i need assistance creating a account type account,10
were do i report troubles with payment,18
i don't know what to do to change to the standard account,24
wanna change to the account type account can ya help me,24
can you help me close a account category account?,11
i want assistance to check the termination penalty,3
"i want to track the reimbursement, can you help me?",26
"i have to leave a comment, i need assistance",22
modifying ingormation on account type account,14
wannaspeak with customer service can ya help me,8
where to modify the address,2
information about a forgotten access key,20
assistance to see in which cases can i ask for refunds,6
i would like to ask for compensations,16
how do i get the bills from person name ?,15
where can i cancel purchase order number ?,0
changing detais on account type account,14
need to check what hours i can call customer service,8
i want assistance to track purchase order number,25
i want assistance to ask for a refund of money,16
i need to talk with customer assistance,8
what do i have to do to see the cancellation penalty,3
i need to set up my new shipping address,23
how can i lodge a reclamation against your business?,7
i don't know what i need to do to call customer service,8
"i have got to change to the account type account, how can i do it?",24
i want support trying to modify my shipping address,2
cancelin account category account,11
"i have to download the bill from person name , how to do it?",15
how can i update the user info?,14
delete account,11
can you help me canceling order order number ?,0
when will i get a restitutiom of money,16
"i have to report a sign up error, how to do it?",21
edit purchase order number,1
check invoice from five months ago,4
edit info on account category account,14
how can i restore the password of my user profile?,20
i can't afford purchase order number,0
i cannot create a account type account,10
error changing shipping address,2
"i have to edit order order number , how do i do it?",1
"i entered a wrong address, help me editing it",2
can i set the shipping address up,23
could uhelp me close a freemium account,11
i want to open an account type account,10
i need assistance to send some feedback for ur produucts,22
problem with account category account terminations,11
i want assistance retrieving the password of my account,20
i need help downloading my bill 00108,15
where to see your available payment modalities?,5
can ya direct to me an assistant,9
how do i create a freemium account,10
where can i get the invoices from person name,15
where do i check the early termination charge?,3
shipments to delivery country,12
help canceling purchase order number,0
where to see whne will my product arrive,13
i'm calling to lodge a compaint,7
i do not know how to change to the account category account,24
where to lodge a consumer reclamation against ur company,7
watn assistance removing a standard account,11
"i want to file a claim, how could i do it?",7
"i do not have a freemium account, i try to register",10
"i don't use my gold account, i want assistance removing it",11
want help to get the invokces from person name,15
can i check what payment options ya accept,5
i don't know how i can reset my accont pwd,20
i do not know what i need to do to demand a refund,16
i try to see in what cases can i request a refund,6
editing info on platinum account,14
where do i check how long it takes for my article to arrive,13
is it possible toorder from delivery city,12
show me how long it usually takes for my product to arrive,13
"i ain't happy with your service, i want help filing a claim",7
i have got to see what hours i can call customer support,8
i'm waiting for a compensation of refund amount dollars,26
is there an address to submit an opinion for ur company,22
where can i check the bloody eta of order order number,25
i want help checking what methods for delivery uoffer,12
edit freemium accont,14
update data on account category cacount,14
i need assistance to unsubscribe to your newsletter,17
i need to switch several items of order order number,1
i need help speaking to a human agent,9
"i have got to use the bloody account category profile, i need help",24
i wantto see what payment options are accepted,5
modify info on account type account,14
support editing my shipping address,2
edit info on standard account,14
how can i take a quick look at my invoice 37777?,4
how can i see what hours customer service available is,8
is there a section to send an opinion for a service,22
i dont know how i can switch to the account type acount,24
delete standard acvount,11
do you deliver to delivery city ?,12
need assistance checking order order number current status,25
want assistance to purchase a few of your product,19
switching to gold account,24
there is an error modifying my address,2
"i need to contact customer service, hoow can i do it?",8
need to know if there is anything new on the restitution,26
how do i edit order order number ?,1
is it possible to use the account type profile,24
i have an issue setting the delivery address up,23
update info on account type account,14
i want help ordering a few of your product,19
i need help acquiring several of your article,19
i do not know how i can download the bill from person name,15
do ya deoiver to delivery city,12
i do not know hgow to remove the standard account,11
i want assistance to reset the pin code of my account,20
rebate currency symbol refund amount,16
wanna submit the new shipping address how do i do it,23
i have got to check the methods for delivery,12
is it possible to subscribe to the corporate newsletter,17
i want help recovering my pin code,20
there is a problem submitting a new shipping address,23
do ya deoiver to delivery city,12
i have a question about canceling purchase order number,0
what do i have to do to list the accepted payment options,5
notify of registration issue,21
"i have to check how long the shipment takes, i need help",13
want help opening a premium account for my daughter,10
check my refund status,26
i do not know what i have to do to look for bill 12588,4
i don't know how to see the bloody withdrawal penalty,3
i try to cancel the newsletter subscription,17
want help to notify of troubles with payment,18
i need help changing to the platinum account,24
i cant remove an itme from purchase order number,1
i need help to unsubscribe to your newsletter,17
give me information about my freemium account termination,11
problem with canceling purchase order number,0
"i can't understand aword you say, can i talk to somebody?",9
need assistance to contcat an assistant,9
i don't know what i ahve to do to see my bill from person name,4
how do i report an issue with online payment?,18
tell me what hours i can get in touch wit customer service,8
can you help me canceling purchase order number ?,0
can ya help mereceive ur company newsletter,17
i do not know what to do to cancel purchase order number,0
using standard accouny,24
i do not know how i can earn several of ur product,19
where can i getinformation about a freemium account removal?,11
i want assistance to list the payment methods,5
i'm trying to edit order order number,1
i'm trying to find the shipping period,13
i don't know how to delete my account category account,11
"i have to enter my new delivery address, how to do it?",23
need assistance to cancel purchase order number,0
help me remove a product from purchase order number,1
find information about the methods for shipment,12
can you help me talking with an agent?,9
i have got to track the compensation,26
how to correct the data on my user account?,14
want help to speak to somebody,9
"i have to talk with customer service, how can i do it?",8
inform of a registration problem,21
problem with account category account cancellations,11
where do i lodge a consumer claim against your business?,7
help to use the pro profile,24
"i want to leave a comment for your company, how to do it?",22
i need help to give a quick look at the bill 85632,4
i try tro subscribe to the newsletter,17
can you help me deleting the account type account?,11
i have got to give a quick look at my bills from person name,4
need to inform of issues wiht a signup can ya help me,21
opening new account category account for daughter,10
i need help creating a premium account for my daughter,10
i have to reporta trouble with payment,18
why i can't set up my new shipping address valid,23
help me to see how soon can i expect my parcel,13
i try to edit purchase order number,1
i dont want order order number,0
i call to leave a review,22
help updating my shipping address,2
open gold account,10
i need help to list ur payment methods,5
there are errors setting up my secondary delivery address,23
i want help to check when will my product arrive,13
help trying to modify the delivery address,2
open a account type account for my dad,10
i have to see the status of order order number can ya helo me,25
help me to see in which cases can i request a reimbursement,6
show me purchase order number statud,25
tell me about cancel the subscription to the newsletter,17
assistance trying to edit the shipping address,2
where do i see how long it takes for the purchase to arrive?,13
canceling purchase order number,0
i domt know how to buy several of ur item,19
help to obtain a compensation of my money,16
what do i have to do to restore the key of my user profile?,20
modify order order number,1
wanna speak to customer support how can i do it,8
i would like to add something to purchase order number,1
there are errors entering my delivery address,23
"i cannot afford this article, cancel order order number",0
help checking in which cases can i request a fucking refund,6
assistance informing of errors with payment,18
need assistance using the freemium account,24
i am waiting for a reimbursement of refund amount dollras,26
where do i file a claim against your company?,7
want assistance closing my standard account,11
i want support updating the delivery address,2
opdn gold account,10
"i need to see when will my package arrive, how can i do it?",13
what do i have to do to locate the bill from person name ?,4
i try to unsubscribe to ur companu newsletter,17
i need assistance to create a standard account,10
can you help me seeing your refund policy?,6
want assistance talking to an operator,9
camceling order order number,0
need help to file a reclamaion against ur business,7
i have to check what shipment methods are there,12
i have errors trying to modify the address,2
show your money back guarantee,6
see what hours customer support available is,8
how to see your goddamn reimbursement policy?,6
i have got to use the account type profile,24
i don't know how i can chek the early exit charge,3
i can no longer afford purchase order number,0
i don't know what to do to chat with an assistant,9
"i need to talk to a live agent, can i get some help?",9
i have to speak with customer assistance,8
want help reporting bloody troubles with payments,18
i would like to check how soon can i expect the shipment,13
i do not know how i can change my delivery address,2
how to switch some items of purchase order number,1
what do i have to do to file a consumer complaint?,7
there is an issue submitting a deilvery address,23
i need assistance to change the delivery address,2
i don't know what i have to do to download my invoice 00108,15
i have a problem with openng a platinum account,10
is it possibpe to check how long refunds take,6
i want to know about the options for shipment,12
"i need to see if there are any news on the refund, help me",26
help me using the account type account,24
"i lost the password of my user, assistance resetting it",20
can you help me to solve errors with payment?,18
where could i report a registration error?,21
help checking what payment methods are accepted,5
help using the account type profile,24
my new shipipng address is invalid i need help,23
chatting with humnan agent,9
changing data on premium account,14
canyou help me reset the access key of my user account?,20
show me order order number status,25
change details on premium account,14
i want help receiving refunds of my money,16
need help seeing when my order is gonna arrive,13
how to track the reimbursement?,26
need to add some goddamn articles to order order number,1
i have got to cancel purchase order number,0
i have to check what hours i cann reach customer assistance,8
assistance to report an error with a signup,21
updating detais on account category account,14
tell me about receiving ur corporate newsletter,17
help me submitting the shipping address,23
i want assistance downloading bill 37777,15
assistance to see what paymentmethods ya accept,5
i need assistance checking my compensation status,26
i'm trying to check the termination fee,3
i need help notifying of a trouble with online payments,18
wanna change a product of order order number,1
where to switch to the account type account,24
"i want to see your money back guarantee, how could i do it?",6
modifying pro account,14
would it be possible to shop several articles?,19
what do i have to doto download the invoice 85632?,15
i need to add some articles to purchase order number,1
question about my account type account removal,11
i need help retrieving my user pwd,20
can you help me getting bill 85632?,15
problems with a pin reset,20
i don't know how to contact an agent,9
assistance to switch to the pro account,24
help getting in touch with customer support,8
how could i edit my damn user?,14
need to sue the account category account,24
modify info on freemium account,14
i do not know how i cancheck the eta of purchase order number,25
"i have to leave a comment about a product, how to do it?",22
i am trying to see what hours customer service available is,8
help using the gold profile,24
what do i have to do to call fucking customer support?,8
i do not know what i need to do to change to the account type account,24
i'm waiting for a rebate of currency symbol refund amount,26
help me to reset my profile pwd,20
i do not know how i can notify of registration issues,21
check invoices from person name,4
"i want to check how long refunds take, i need assistance",6
help me see at what time i can call customer assistance,8
send me billa from person name,15
i need assistance swapping an article of order order number,1
help checking in what cases can i request to be reimbursed,6
show me order order number status,25
is it possible to inform of an error with online payments?,18
notifying of issue creating user account,21
cancelling account type account,11
want support updating the delivery dadress,2
is it possible to cancel purchase order number ?,0
could uhelp me checkingb the eta of the purchase order number,25
checking refund status,26
i have anissue modifying my address,2
i need to see my goddamn invoices from last year,4
i need help with canceling purchase order number,0
create new premium account for daughter,10
how to check the current status of order order number ?,25
transfer to me an agent,9
is it possible to order some of your article?,19
problems with account type account terminations,11
how to see order order number current status?,25
i no longer want order order number,0
need assistance to obtain a refund of my money,16
i have a trouble setting m new delivery address up,23
where to correct my shipping address?,2
i dont know how i can see the available payment options,5
i need to submit some feedback for a service,22
give me information about the removal of a premium account,11
"i submitted a wrong shipping address, i awnt to change it",2
i need to see in what cases can i ask for a reimbursement,6
i want assistance to restore the access key of my account,20
i try to check your damn money back guarantee,6
how do i earn a few of ur product,19
can uhelp me lodge a customer complaint,7
i dont know how i can check ur reimbursement policy,6
assistance to file a claim against ur company,7
close account type account,11
i need help seeing how long reimbursements take,6
i do not know how to take a qauick look at my invoice 00108,4
i don't know what i need to do to cancel the account type account,11
i can't notify of issues with a sign up,21
i don't know how to check your available payment options,5
where to make a customer clazim against your company?,7
i do not know how to get my invoices from person name,15
i don't know what i have to do to contact someone,9
i want assistance to earn several products,19
need to create a account type account,10
help me to set up a secondary shipping address,23
i want help purchasing several products,19
i have to edit the info included on my user can uhelp me,14
need to give a quick look at invoice 37777 how to do it,4
how do i contact an operator?,9
want help to send my feedback for your rpoducts,22
i have got to leave my feedback about your services,22
assistance to see what payment methods are accepted,5
i ned help to reset the pin of my profile,20
help checking in which cases can i ask for reimbursements,6
i have a problem setting the secondary delivery address up,23
i want to know about unsubscribing to your newsletter,17
i want assistance chatting with someone,9
can ya help me cancel purchase order number,0
i am waiting for a compensation of currency symbol refund amount,26
need assistance to set a secondary shipping address up,23
remove account type accoint,11
i need to lodge a consumer complaint,7
could i talk to someone?,9
where can i enter my new shipping address?,23
i ened help reporting problems with payment,18
file complaint,7
what do i have to do to use the account type profile,24
help receiving the corporate newsletter,17
what do i have to do to check the refund status,26
uhave an method to leave feedback,22
i do not know how to check the cancellation penalties,3
remove account category account,11
inform of error with online payments,18
i cannot find the early termination charge,3
i have troubles setting up a new shipping address,23
where to demand my money back?,16
"i need to lodge a damn consumer claim, ehlp me",7
i don't know how to see how soon can i expect my parcel,13
"i want to submit my secondary shipping address, help me",23
i do not know how i could reset the key of my profile,20
how to make a bloody customer claim against your company?,7
"i have got to set up a shipping address, how do i do it?",23
help me leaving feedback,22
i'm waiting for a refund of refund amount dollrs,26
i have gog to speak to customer support,8
help me see the status of purchase order number,25
can i see at what time i can call customer assistance?,8
need help notifying of issues wiht a sign up,21
help me modifying the adress,2
i do not know how to download the bills from person name,15
is it possible to make a complaint against your company?,7
help t change order order number,1
is there a way to leave a review about ur products,22
can i see the bloody withdrawal penalties?,3
i have to check the invoice from person name,4
"i have lost my user account password, how can i reset it?",20
help me check the cancellation charge,3
wanna reset the access key of my account,20
want assistance to recover my profile pass,20
help seeing the fucking cancellation charges,3
where to unsubscribe to the corporate newsletter?,17
i need help cancelnig purchase order number,0
can you help me buying a fucking article?,19
i need to retrieve the pass of my user account,20
opening standard account,10
can you help me seeing the early exit penalties?,3
where can i see at what time i can reach customer support?,8
there are troubles editing my shipping addrss,2
i want help to see what shipment options are there,12
i want help notifying of issues with a sign up,21
edit details oon account type account,14
is there a method to send some feedback about your products?,22
can uhelp me to unsubscribe from the corporate newsletter,17
help me see the eta of the order order number,25
want help to see your reimbursement policy,6
can i send some feedback for a product?,22
where to request a rebate,16
i want help downloading the invoices from person name,15
i need help to talk to an assistant,9
what do i need to do to give a quick look at the bill 00108,4
speak to customer support,8
i don't know how i can speak wih customer service,8
i want to chat with a person,9
modify info on account type account,14
how can i see what hours i can reach customer service?,8
tell me about the subscription to the corporate newsletter,17
i need help to see in what cases can i ask to be refunded,6
need help seeing when my packageis going to arrive,13
how to use the pro profile,24
i have to see the eta of the purchase order number,25
edit info on account type account,14
where can i make a consumer complaint against your business?,7
check ur money back guarantee,6
could you help me notify of an error with signup?,21
help to file a customer complaint against ur company,7
i do not know how i can earn an few of your item,19
i have to correct purchase order number how can i do it,1
i want assistance reporting errors with a signup,21
i need help cancelling mny company newsletter subscription,17
what do i need to do to switch to the platinum account?,24
can you help me unsubscribing from the company newsletter?,17
i want assistance acquiring some of ur article,19
i try to chat with somebody,9
i try to speak to customer service,8
how to set up another delivery dadress?,23
want assistance to leave my feedback for a service,22
question about the termination of my premium account,11
i have a question about the cancellation of a account type account,11
show me in what casescan i request my money back,6
invalid shipping address,23
correcting info on standard account,14
i need to check if there are any news on my compensation,26
can you help me to retrieve my user profile key?,20
there is a problem entering the new delivery address,23
want assistance lodging a consumer claim against yur company,7
deliverids to delivery country,12
i dont know what i have to do to download my invoice 85632,15
i have to see in whzt cases can i request to be reimbursed,6
rebating currency symbol refund amount,16
i need to lodge a consumer claim against your business,7
where can i get the invoice 12588,15
help checking what shipment methods i can choose,12
changkng to account type account,24
"i am trying to find delivery periods, can you help me?",13
i have a problem with opening a account category account,10
i want a pro account,10
need assistance giving a quick loik at my bill 37777,4
check if there is anything wrong with my damn restitution,26
how to edit order order number ?,1
do uship to delivery city,12
is there a section to leave a comment for a product?,22
assistance to report an error with a registration,21
i need asisstance unsubscribing from your newsletter,17
"i want to see how long refunds usually take, how to do it?",6
can you help me see the status of the reimbursement?,26
i need help to contact somebody,9
where can i check the bill 85632?,4
talk to an operator,9
assistance demanding restitutions of money,16
will ya show me how long the shipping takes,13
my adddress changed how can i update it,2
know if there is anything new on my restitution,26
could you help me editing my fucking account?,14
help me contact aperson,9
i don't know how i could download my invoice 00108,15
help to sign up to your newsletter,17
help seeing order order number status,25
i have got to inform of errors with a sign up,21
want help cancelling purchase order number,0
how to see the status of order order number,25
iam looking for information about opening a account category account,10
i don't know what i need to do to get invoice 85632,15
open another pro account,10
i do not know how to report issues with registrations,21
i do not want purchase order number,0
can yo help me receive your newsletter?,17
shipments to delivery city,12
d uship to delivery city,12
using account category accouny,24
checking order order number status,25
i need information about my freemium acclunt removal,11
i dont know what to do to recover the pwd of my profile,20
send me bill from person name,15
can i speak with an operator,9
solve problems with apyment,18
i want to report errors with payment,18
i want help unsubscribing to the company newsletter,17
i need to see what payment payment modalities are allowed,5
assistance obtaining a refund,16
i need help canceling order order number,0
use platinum account,24
help cancelling my bloody purchase,0
i do not know how i can write a comment about a service,22
i dont know how to demand a rebate of money,16
i'm trying to fgind my bills from person name,4
use account type acdcount,24
where to get a compensation of money?,16
there is a trouble submitting a secondary shipping address,23
i have to change some damn articles of purchase order number,1
help with payments,18
how do i order an article?,19
deliveries to delivery city,12
help me talk with an agent,9
i have to correct my delivery address,2
wanna know about canceling the subscription to ur newsletter,17
"i want to earn some goddamn items, i need assistance",19
what do i nede to do to shop an item,19
"i bought some item, cancel order order number",0
can you tell me moreabout editing the delivery address?,2
i need help notifying of problems with a signup,21
need help to ask for restitutions of my money,16
"i have to see the payment options, can you help me?",5
cancel freemium acount,11
when am i gonna obtain a reimbursement of money,16
what do i need to do to open a freemium account for my dad?,10
what do i have to do to see when will my article arrive?,13
help me to acquire some of your article,19
check what hours i can contact customer support,8
"i cannot remember my damn profile key, how to restore it?",20
assistance checking when my article is going to arrive,13
i have to leave a comment about a service i need help,22
can you help me notify of a payment issue?,18
can ya help me to lodge a reclamatiom against ur company,7
how can i open a platinum account?,10
can you help me check what shipment methods are there?,12
where to get my damn bills from person name ?,15
i try to check my restitution status,26
where could i find my invoice 00108,4
need to make a complaint,7
canceling order order number,0
i need assistance modifying the delivery address,2
i need help to maake an order,19
check at what time i can call customer service,8
there is an error setting up my shipping address,23
what do i need to do to use the premium profile,24
can i notify of errors with sign up,21
i have troubles submittng the shipping address,23
help to place an order,19
i can't remove an item from purchase order number,1
"i haven't signed up, i need to create a account category account",10
help me seeing what delivery options i can choose,12
want help to restore my pwd,20
seemy bill from person name,4
assistance seeing how soon can i expect my item,13
"my new delivery address isn't valid, what should i do?",23
i want assistance reporting an issue with a registration,21
need to unsubscribe from ur newsletter,17
i am waiting for an restitution of currency symbol refund amount,26
i try to swithc to the account category account,24
cance order order number,0
i cant change an item of purchase order number,1
need assistance seeing what delivery options are there,12
assistance to make a claim against ur business,7
can you help me to check the early exit fees?,3
"i have got to talk to a person, how can i do it?",9
can ya help me to set the nw shipping address up,23
changing data on account type account,14
how can i restore my user pin code?,20
is it possible to locate my bill from person name,4
i do not know how to notify of a payment problem,18
is it possible to talk with customer assistance?,8
show me in what situations can i ask for my money back,6
could ya help me to report an isue with payment,18
give me information about the cancellation of a account type account,11
i do not know what to do to earn several of yoru item,19
i have a problem with canceling purchase order number,0
i do not know what i have to do to close the platinum accont,11
"i have to check the early exit charge, how can i do it?",3
what do i need to do to see the early exit penalty?,3
i expect a compensation of refund amount dollars,26
problems with gold account cancellations,11
changing details on account category account,14
i have a trouble setting my secondary shipping address up,23
i need support trying to modify the address,2
i have a question about a password recovery,20
assistance to buy several of your product,19
where do ileave feedback about a product,22
i need help canceling order order number,0
how could i lodge a reclamation?,7
i want information about creatign a account category account,10
i don't know wat i have to do to download my bill 00108,15
edit data on gold account,14
i want help checking in what cases can i request a refund,6
help me tracking my compensation,26
assistance to shop some products,19
can you help me seeing the early termination charges?,3
"i need to leave a comment about your services, help me",22
modify account type account,14
can you help me shopping an article?,19
can ya tell me more about changing the shipping address,2
do you shp to delivery city ?,12
i need to retrieve my user account pin code,20
i have issues setting up a new delivery address,23
help me unsubscribing to the newsletter,17
want assistance informing of problems with online payment,18
i do not know what i need too do to reset my user pin,20
i have got to enter a delivery address,23
can you help me create a premium account?,10
how can i cancel order order number ?,0
i do not know how to report problems with registrations,21
can you help me unsubscribing from the corporate newsletter?,17
i chose a wrong delivery address,2
where do i notify of an error with signup?,21
"i have got to see how long the delivery takes, i need help",13
i try to see the payment methods,5
"i cannot pay, where cani report problems with payment?",18
i try to change my shipping address,2
i need to see how soon can i expect my purchase,13
help me cancelling purchase order number,0
help me seeing what payment options are available,5
i do not know how i can see the early termination penalties,3
how do i update the shipping address?,2
is it possible to recover my profile access key?,20
have a problem with creating a platinum account,10
i don't know what i have to do to get bill 00108,15
want assistance to talk with a person,9
i want help to acquire several of your product,19
i do not know what to do to talk to a live agent,9
chnge data on platinum account,14
i have lost the invoice 00108 could umail it to me,15
find informationabout the termination of a freemium account,11
how can i check your available payment modalities?,5
information about the cancellation of my account category account,11
i do not know how to buy several of your product,19
i have to inform of issues with a registration,21
i don't know how i can look for my bill from person name,4
i dont know how to take a quick look at the bill 12588,4
is it possible to make an order,19
i want to know about subscribing to your newsletter,17
i want to know about the shipping periods,13
find information about the deletion of my freemium account,11
can you help me to cancel the account type account?,11
i want help to see in which cases can i ask for refunds,6
"i want to get the bill 85632, i need help",15
i need to check in which situations can i ask for a refund,6
"i do not have a pro account, could you help me to register?",10
need to check wwhen my shipment is gonna arrive can uhelp me,13
i don't know how to demand a restitution of my money,16
i need to reset the pin code of my account,20
"i need to earn some articles, how can i do it?",19
seeing your money back policy,6
help me checking my bill from person name,4
i am waiting for a rebate of currency symbol refund amount,26
"i have got to change to the freemium account, help me",24
assistance to leave some feedback about a product,22
mail me my damn bill from person name,15
i have a question about a goddamn shipping address change,2
help me seeing in which situations can i ask for a refund,6
open a freemium account for my dad,10
i want assistance to cancel purchase order number,0
i have a problem with a delivery address modification,2
i try to make a consumer reclamation against ur company,7
find invoice 12588,4
"the address changed, could i update it?",2
can i get my invoice from person name ?,15
what do i have to do to speak with a damn operator?,9
i do not know how to check what shipping options i have,12
where can i submit the secondary delivery address?,23
i want help tocall customer assistance,8
i am waiting for an rebate of currency symbol refund amount,26
where do i open a standard account for my dad?,10
mldifying account category account,14
i do not know what i have to do to talk wiyh a live agent,9
where can i report errors with onlinepayment,18
have a question about the cancellation of my account type account,11
can you help me to make a complaint?,7
what do i have to do to contact a person?,9
what do i have to do to change an item of purchase order number ?,1
i have to check the shipment methods i need assistance,12
want help to talk to someone,9
where can i create a account type account,10
where do i lodge a custmoer reclamation?,7
"i want to pudate purchase order number , can you help me?",1
i try to subscribe to your newsletter,17
help me get a reiombursement of my money,16
do you have a section to leave an review for a service?,22
i dont know how i could inform of an payment error,18
were to check order order number current status,25
where do i inform of a trouble with online payment,18
i don't know how to inform of an issue with registrations,21
where can i see how long it takes for my delivery to arrive?,13
need to checkin which situations can i ask to be refunded,6
i can't edit order order number,1
i do not know what to do to see the cancellation charges,3
pudate standard account,14
i want assistance seeing the withdrawal fee,3
can i chat with a live agent?,9
need assistance shopping some of your product,19
i want assistance to ask for restitutions of my money,16
updating information on freemium account,14
i have got to speak to an operator,9
help to see in what cases can i request to be refunded,6
how could i buy esveral products,19
can i remove something from order order number,1
help with changing purchase order number,1
cancelling premium account,11
i dont know how to restore the pin of myuser account,20
how to use the account category profile,24
can youhelp me reporting troubles with online payments?,18
want help trying to edit my addres,2
can you show me the eta of purchase order number ?,25
i try to cancel the subscription to your newsletter,17
i need assistance solving an error with payments,18
i need assistance to get a reimbursement,16
can you help me to cancel order order number ?,0
how do i delet some items from order order number,1
i do not know how to change to the premium account,24
i cannot update purchase order number,1
i can't submit my delivery dadress,23
i do not know what i have to do to earn some of ur article,19
"i would like to shop several of your article, i need help",19
show me what options for delivery are there,12
i want assistance checking the termination penalties,3
is it plssible to order from delivery country ?,12
could i edit my personal information?,14
i want assistance to set the goddamn delivery address up,23
help me shop an item,19
i want to file a reclamation,7
i have troubles setting up a secondary shipping address,23
help me retrieve my profile pin code,20
i don't know what to do to call customer support,8
assistance to set a different delivery address up,23
i have got to ask for refunds,16
i dont know what to do to make a complaint,7
assistance to take a quick look at the bill 12588,4
how can i find information about the shipping period?,13
help seeing in what situations can i ask to be refunded,6
i do not know what i need to do to make a consumer claim,7
i want assistance to get in touch with customer service,8
can you help me restoring the password of my account?,20
need help to see when my parcel is going to arrive,13
is it possible to download the invoice from person name,15
"someone has stolen my user account key, help to restore it",20
"i don't need my damn standard account, i have to remove it",11
inform of registration problems,21
help to restore my profile password,20
"i am waiting for a rebate of currency symbol refund amount , was it processed",26
help me to use the account category profile,24
i try to lodge a reclamation against ur business,7
i want t file a consumer claim against your company,7
i want help checking in which cases can i ask for a refund,6
can you help me canceling the goddamn platinum account?,11
i have to chat with a huamn agent,9
"i paid currency symbol refund amount for these articles, where do i obtain a rebate?",16
i dont know what i need to do to receive a rebate,16
open a pro account for my dad,10
i cant add some goddamn products to purchase order number,1
i call to check how long it takes for ym article to arrive,13
want help to update purchase order number,1
help to see in which casescan i request reimbursements,6
i expect a refund of refund amount dollars,26
could ya help me to cancel my newsletter suscription,17
help checkinjg the eta of order order number,25
where to retreive my key,20
want help leaving some damn feedback fora product,22
want assistance writing a comment about a service,22
i try to speak with someone,9
what do i have to do to talk with customer support?,8
i cannot notify of a problem with a sign up,21
how can i demand rebates?,16
have problems with editing purchase order number,1
do you have a section to send a review about your services?,22
"i want to recover my user profile key, can you help me?",20
i call to check how soon can i expect the item,13
what do i have to do to order somethingh?,19
do you ship to delivery country ?,12
assistance to see order order number current status,25
help me see your azllowed payment modalities,5
where can i edit my delivery address?,2
can ya help me seeing how soon can i expect my parcel,13
i dont know how to give a quick look at bill 12588,4
help checking in which cases can i request to be refunded,6
can i chat with a person,9
how do i recover my account pin code?,20
information about the termination of my platinum account,11
"i have to cancel my subscription to your newsletter, help me",17
i do not know how to cancel order order number,0
i want help to check purchase order number status,25
how do i receive your newsletter?,17
i need assistance seeing the invoices from person name,4
i call to check when will my article arrive,13
contact someone,9
i call to send some feedback about a service,22
need help modifying my shipping address,2
where can i check what hours i can contact customer service,8
i am waiting for an restitution of refund amount dollars,26
"you aren't helpful at all, assistance to talk to somebody",9
i want help subscribing to the company newsletter,17
is it possible to lodge a bloody customer claim?,7
where can i see the status of the restitution?,26
leave comment about a service,22
where do i ser how long it takes for the product to arrive,13
how do i change some items of order order number,1
"i am looking for the methods for shipment, i need help",12
i do not know how to see the termination charges,3
i'd like to unsubscrie to the corporate newsletter help me,17
i have got to submit my feedback for a product,22
can you help me to report errors with registrations?,21
can i see the termination penalty?,3
where to inform of problems with online payments ?,18
i have got to receive the corporate newsletter,17
"i chose a wrong shipping address, can i correct it?",2
what is the fee for breaking the contract,3
i am trying to order a few of your product,19
help me to report an issue with a sign up,21
"i want to send some feedback, i need assistance",22
where can i lodge a bloody consumer claim against ur company,7
opdn account category account,10
i want help to talk with a human agent,9
"i have to receive the damn newsletter, how to do it?",17
update data on account type account,14
i try to check what hours customer support available is,8
need assstance to file a consumer claim against your company,7
assistance filing a complaint against your organization,7
how can i check the early termination penalties?,3
i try to edit purchase order number,1
i try to make a consumer reclamation,7
want assistance to lodge a complaint against your business,7
how can i find information about a account type account termination?,11
what do i need to do to submit the new shipping address,23
how can i speak with an assistznt,9
i do not know what i have to do to check my invoice 00108,4
cancelin account type account,11
what do i need to do to speak with someone?,9
help me making a customer complaint,7
want heop downloading the bill from person name,15
"i entered a wrong shipping address, can i correct it?",2
i can't locate my invoices from person name,4
can i order from delivery city,12
i dont know how to switch to the account category account,24
i do not know what to do to delete a standard account,11
helpme seeing the early exit fee,3
could i swap a bloody item of purchase order number ?,1
i have got to reeport issues with signup,21
closing standard account,11
i want help checking your allowed payment methods,5
can uhelp me check if there are any updates on the rebate,26
are there early exit fees?,3
i need to restore the password of my account,20
"someoe stole my account pin code, where could i retrieve it?",20
can you help me cancelling purchase order number ?,0
want assistance seeing the status of order order number,25
see order order number current status,25
i need to demnand reimbursements of money,16
i have to inform of errorfs with a signup,21
i dont know how i can leave feedback for ur products,22
i want help resetting my profile access key,20
i want assistance to ask for a reimbursement of money,16
open account category cacount for wife,10
can i check what delivery methods are available?,12
how to change to the account category account?,24
i'd like to locate purchase order number i need assistance,25
i do not know what i need to do to modify the address,2
i need assistance to check the cancellation penalty,3
i want help cancelling purchase order number,0
modify information on standard account,14
need assistance reporting a problem with payment,18
help with cancelling purchase order number,0
how to see the allowed payment options,5
i want information about a account category account cancellation,11
want assistance unsubscribing from ur company newsletter,17
where do i submit feedback about a service?,22
help me see in which cases can i ask to be refunded,6
i need help to make a complaint against your business,7
"i expect a compensation of refund amount dollars, was it processed",26
i want help modifying the address,2
how could i see if there are any updates on my refund?,26
i need help purchasing some of ur item,19
